推數,噓數,文章分數,文章作者,文章名稱,發表時間
5,5,0,limoncool (中国共产党杀光台独贱畜),[問卦] 現在是不是血洗台灣最佳時機,Fri Oct  2 13:24:04 2020
3,1,2,royroy666 (老鼠),[問卦] 選前一個月超級震撼彈！！,Fri Oct  2 13:21:47 2020
0,1,-1,stuj9019 (肥宅好吃 ^Q^),[問卦] 滯台美國人會回去投票嗎,Fri Oct  2 12:21:53 2020
8,2,6,funasake (),[問卦] 去日本一定要買什麼東西？,Fri Oct  2 11:31:17 2020
1,0,1,NTUST (國立金城武科技大學),[問卦] Onlyfans有什麼推薦追蹤的帳號嗎？,Fri Oct  2 12:55:11 2020
1,1,0,EmeraldAZ (小穹控),[問卦] 小穹的生日賀卡到啦>< (小穹陣線),Wed Oct  7 18:26:15 2020
9,1,8,ginopun10477 (南瓜薯叔),[問卦] 十個廣告七個是手遊,Fri Oct  2 12:01:16 2020
7,3,4,Davichi5566 (如果從此不見面),[問卦] 去教召查詢系統查自己資料會被紀錄嗎？,Wed Oct  7 19:51:15 2020
22,1,21,Francise (少喝飲料多喝水),[新聞] 竹聯幫內訌！萬華大亂鬥砍死人　賭場利,Wed Oct  7 21:26:36 2020
8,10,-2,norvasc (Norton),[問卦] 跟愛莉莎莎同房一晚給10萬  你ok嗎？,Fri Oct  2 12:37:23 2020
16,9,7,KeepHard (0.0),[問卦] 中國大奶妹全來台灣是不是就和平統一了？,Fri Oct  2 14:27:59 2020
4,0,4,Superxixai (洪粉吱已),[問卦] 社會上阿薩布魯的人也太多了吧？,Wed Oct  7 20:36:21 2020
6,0,6,chihchingho (松艄辣g),[問卦] 沒人關心伊凡卡嗎？,Fri Oct  2 14:59:52 2020
6,5,1,maybetodo (np),[問卦] 教召14天含放假嗎？,Wed Oct  7 19:55:23 2020
20,2,18,pupss89177 (asshole young),[問卦] 咳三個月了怎麼辦,Wed Oct  7 18:08:47 2020
1,5,-4,kingtama (立志成為唬爛王),[問卦] 地獄會不會只是另一個時空？,Wed Oct  7 20:07:20 2020
5,1,4,Rrrxddd (有噴蛤蜊 RR),[問卦] 是誰發現 香蕉 可以吃的,Wed Oct  7 21:05:22 2020
5,4,1,kevin19528 (kk19528),[問卦] 五行密碼到底是啥？,Fri Oct  2 12:38:54 2020
2,5,-3,QAQer (你為什麼不問我初戀幾歲?),[問卦] 三年級學長特製的蔬菜汁很難喝,Wed Oct  7 16:33:28 2020
31,21,10,kivan00 (Kivan),[新聞] 中芯恐遭斷頭？英媒爆川普押錯籌碼,Fri Oct  2 11:25:27 2020
3,5,-2,aleck0211 (Hitori),川普死前會公開外星人秘密嗎,Fri Oct  2 13:39:37 2020
4,7,-3,david0426 (軒軒寶貝),[問卦] iPhone用兩年 就開始發燙,Wed Oct  7 20:01:48 2020
5,14,-9,wang19980531 (中立評論員),[問卦] 美國連香港都救不了 怎麼幫台灣？,Fri Oct  2 13:28:37 2020
7,3,4,Lucky0105 (洋),[問卦] 流氓能買的起c300？賺錢能力超強？,Wed Oct  7 21:03:21 2020
7,9,-2,avpenis123 (),[問卦] 這碗鮭魚親子丼要多少？,Wed Oct  7 18:18:42 2020
3,2,1,ytkuang (就是那個光),[新聞] 逼少年「DIY」 嫌太慢 輔導老師伸手「幫,Wed Oct  7 20:53:55 2020
0,4,-4,david3809 (霜月薰),[問卦] 台男自願加班 有加分嗎？,Wed Oct  7 18:24:59 2020
7,2,5,RINPE (RIN),[問卦] 為什麼開始抽煙？,Wed Oct  7 18:15:13 2020
13,8,5,go190214 (天空之島拉普達),[新聞] 藍營推萊牛卻反萊豬「可不可恥」？ 洪孟,Wed Oct  7 19:51:16 2020
1220,43,1177,Superman007 (),[爆卦] 川普中標,Fri Oct  2 12:55:38 2020
2,4,-2,simoncha (茶或咖啡),[問卦] 愛莉莎莎包養你 多少錢可以接受,Fri Oct  2 12:35:23 2020
18,1,17,eateat14 (SHERLOCKZH),[新聞] 上萬噸事業廢棄物亂丟中彰投 環保掮客羈,Wed Oct  7 19:45:10 2020
3,0,3,wakaura (wakaura),[問卦] 應付教召有需要練身體嗎？,Wed Oct  7 20:31:23 2020
11,2,9,demandlonely (樓台下的一盞燈),[問卦] 有人機車騎上快速道路過嗎,Wed Oct  7 17:01:23 2020
0,0,0,nayeonmywife (sanamywife),[問卦] 有沒有Genshin Impact 廣告做得不錯的八,Fri Oct  2 14:29:52 2020
7,1,6,antonysole (辰辰),[問卦] 歷史上有沒有女人做了亡國之君,Fri Oct  2 14:48:00 2020
2,2,0,ergostepo (ergo),[問卦] 共機飛過來  不理它會怎樣嗎？,Wed Oct  7 17:43:44 2020
14,1,13,colset (摳機主教),[新聞] 昌鴻增強為中颱！最新路徑曝光大迴轉北上,Wed Oct  7 20:43:22 2020
2,2,0,milk8144 (>@@<),[問卦] 老闆說因為疫情不辦尾牙了？,Wed Oct  7 18:51:17 2020
0,1,-1,ME13 (小鳥),[問卦] 早餐吃烤肉吐司的人多嗎（在線吃,Fri Oct  2 12:25:58 2020
1,2,-1,cutiehoneyzu (McHilo),[問卦] 肥宅學蕭敬騰穿打洞的牛仔褲會變潮男嗎？,Wed Oct  7 20:56:41 2020
4,0,4,leepingyo (御前一品帶刀龍侍衛),[新聞] 失蹤近2年　議員爆：北韓前駐義國趙姓大,Wed Oct  7 16:43:17 2020
1,3,-2,gotopark (無限風光在險峰),[新聞] 為明年台灣燈會 交通部長林佳龍參訪新竹,Wed Oct  7 19:53:52 2020
19,9,10,asdf1256 (guest),[新聞] 學雜費凍漲15年 私大校長砲轟：干涉大學,Wed Oct  7 18:25:29 2020
5,6,-1,onepunchgg (onepunchgg),[問卦] 怎麼觸發分泌荷爾蒙,Wed Oct  7 19:24:36 2020
9,5,4,doraBBO (天才小釣手),[新聞] 史上首次「撲空」進入枯水期 桃竹苗台中4,Wed Oct  7 18:05:32 2020
14,0,14,RikaShiguma (RikaShiguma),[新聞] 微軟計畫投資10億美元 雅典建3座資料中心,Wed Oct  7 19:04:34 2020
8,1,7,ggian123 (小孩當國文老師打斷他腿),[問卦] 彭斯和賀錦麗誰最有機會當選總統,Fri Oct  2 13:22:43 2020
3,5,-2,Ketsu24 (阿可),[問卦] 有沒有諾貝爾獎排華的八卦？,Wed Oct  7 18:48:33 2020
11,4,7,fragmentwing (片翼碎夢),[新聞] 中山高湖口服務區驚傳隨機砍人 看惡煞一,Wed Oct  7 18:27:16 2020
2,0,2,STAV72 (刁民黨黨務主委),[問卦] 印度仔躺分就對了？,Fri Oct  2 13:28:46 2020
1,0,1,sup5566 (舒跑烏溜溜),[問卦] 川普有權力公佈51區的秘密嗎？,Fri Oct  2 13:45:09 2020
7,1,6,bennyalen (小周),[問卦] 預購到PS2有多爽？,Fri Oct  2 11:57:30 2020
3,11,-8,ubcs (覺★青年超冒險蓋),[公告]十月份置底閒聊區,Wed Oct  7 16:57:26 2020
25,1,24,henry100 (Henry),[問卦] 最後川普沒事，而梅蘭妮雅GG，會如何？,Fri Oct  2 13:45:29 2020
33,4,29,richshen (哇哈哈),[新聞] 婦科名醫麻醉性侵15分鐘3次 妻揭惡行：他,Wed Oct  7 20:50:28 2020
